timestamp,flex1,flex2
1772274801.5139377,816,832
1772274803.9513316,816,832
1772274806.51465,816,832
1772274809.0809557,1856,1771
1772274811.4691792,1856,1771
1772274813.8740075,1856,1771
1772274816.2755802,1856,1771
1772274818.7261207,1856,1771
1772274821.2485392,1856,1771
1772274823.795888,1856,1771
1772274826.2456279,1669,1741
1772274828.7575738,1669,1741
1772274831.3163211,1669,1741
1772274833.8773735,1669,1741
1772274836.2744172,1669,1741
1772274838.7091322,80,17
1772274841.1068475,80,17
1772274843.5672567,80,17
1772274846.2009628,34,45
1772274848.6309037,34,45
1772274851.6424372,34,45
1772274854.1898656,34,45
1772274856.7040067,687,662
1772274859.1194408,687,662
1772274861.5237224,687,662
1772274863.9502711,687,662
1772274866.5163846,687,662
1772274869.0761628,3261,3483
1772274871.634888,3261,3483
1772274874.195409,3261,3483
1772274876.5970592,3261,3483
1772274879.1640885,3261,3483
1772274881.5995524,3261,3483
1772274884.127146,3261,3483
1772274886.7041886,3261,3483
1772274889.2363029,3261,3483
1772274891.8036048,3261,3483
1772274894.2363408,3261,3483
1772274896.7620573,3261,3483
1772274899.317054,3261,3483
1772274901.7577205,343,305
1772274904.2760935,343,305
1772274906.7151508,343,305
1772274910.8367944,343,305
1772274913.3547847,343,305
1772274915.8021605,854,819
1772274918.2417278,854,819
1772274920.686252,1219,1200
1772274923.1128502,1219,1200
1772274925.5502784,1219,1200
1772274928.1160548,1219,1200
1772274930.675467,1219,1200
1772274933.2365742,1219,1200
1772274935.8095925,1219,1200
1772274938.3566985,1219,1200
1772274940.9156692,1452,1391
1772274943.476644,1452,1391
1772274946.037988,1452,1391
1772274948.5964432,1452,1391
1772274951.027168,1452,1391
1772274953.5621738,716,713
1772274956.1184218,716,713
1772274958.6765506,1211,1217
1772274961.23664,1211,1217
1772274963.7966557,1211,1217
1772274966.3620875,1211,1217
1772274969.9254577,1211,1217
1772274972.4365225,883,879
1772274975.0025342,883,879
1772274977.5586095,883,879
1772274980.1163247,883,879
1772274982.67647,64,70
1772274985.2069993,64,70
1772274987.615423,64,70
1772274990.0175633,1778,1742
1772274992.5973141,1778,1742
1772274995.166513,1778,1742
1772274997.7183056,1778,1742
1772275000.148233,1778,1742
1772275002.6776645,3606,3210
1772275005.2475328,3606,3210
1772275007.7969115,3606,3210
1772275010.3508415,3606,3210
1772275012.91075,3606,3210
